,0
자살,64.13
절대,64.11
특수,63.92
특성,63.92
주변,63.720000000000006
자격증,63.620000000000005
인원,63.580000000000005
참여,63.06
전문,63.02000000000001
의미,62.87
정보,62.760000000000005
보호법폐지,62.65
판단,62.38
답변,62.32
여중,62.31000000000001
초등돌봄교실,62.150000000000006
추가,61.730000000000004
보육료,61.720000000000006
이혼,61.64
등학교,61.56
문제점,61.34
일자리,61.31000000000001
남편,61.13
선발,61.09
만큼,61.040000000000006
다음,61.02000000000001
악용,60.96
제공,60.9
제외,60.88
인터넷,60.73
배정,60.7
담임,60.629999999999995
방송,60.42999999999999
취소,60.16
역사,60.03
가슴,59.73
학업,59.65
상담,59.64
사교육비,59.60000000000001
얼마,59.59
불법,59.56
사태,59.519999999999996
매트,59.44
등등,59.43000000000001
일정,59.4
존재,59.39
전환,59.370000000000005
인증,59.04
상대,58.910000000000004
잘못,58.809999999999995
검사,58.629999999999995
적폐,58.489999999999995
무시,58.29
방치,58.18
포기,58.14999999999999
수정,58.03
보조,57.93
재산,57.790000000000006
신경,57.68000000000001
고려,57.62
변경,57.519999999999996
발전,57.440000000000005
이름,57.440000000000005
계획,57.25000000000001
여기,57.11
업체,57.010000000000005
임금,56.910000000000004
진로,56.39000000000001
도입,56.370000000000005
경력,56.11000000000001
예방,55.870000000000005
장애,55.86000000000001
사항,55.85000000000001
유지,55.83
경기도,55.76
설립,55.510000000000005
평생,55.410000000000004
최소한,55.39
서민,55.29
휴가,55.16
지도,55.07
치료,55.029999999999994
주장,54.980000000000004
검토,54.82
반영,54.73
대출,54.690000000000005
외국,54.67
일주일,54.56999999999999
수사,54.160000000000004
관계,54.03
연락,54.0
투표,53.89
체육,53.89
필수,53.730000000000004
국어,53.58
차이,53.5
내일,53.470000000000006
정원,53.45
조건,53.230000000000004
아파트,53.21000000000001
인생,53.08
선거,53.06
휴게,53.06
인식,53.0
경험,52.800000000000004
축소,52.620000000000005
영향,52.62
처우,52.49
이익,52.480000000000004
병설,52.470000000000006
프로그램,52.45000000000001
지진,52.41000000000001
살인,52.34
정작,52.31999999999999
철회,52.16
침해,52.12
폐원,51.94
재학,51.85
담배,51.84
존경,51.730000000000004
각종,51.650000000000006
안정,51.57
목적,51.38
고사,51.16
학급,51.06999999999999
집단,50.64
공기,50.580000000000005
직원,50.53
성장,50.480000000000004
과학,50.440000000000005
광고,50.410000000000004
비중,50.330000000000005
교과,50.300000000000004
공간,50.230000000000004
센터,50.160000000000004
머리,50.03999999999999
장려,50.0
단체,49.99
고용,49.92999999999999
생명,49.87
예전,49.68000000000001
온라인,49.63000000000001
서비스,49.629999999999995
계속,49.629999999999995
돌봄,49.61
어린아이,49.52000000000001
겨울,49.480000000000004
규제,49.470000000000006
성민,49.440000000000005
오후,49.27
첫째,49.269999999999996
여학생,49.239999999999995
활용,49.230000000000004
청와대,49.13000000000001
정규,49.13
취지,48.99
법안,48.95
눈치,48.93000000000001
워킹맘,48.839999999999996
코로,48.78
통학,48.77
작년,48.480000000000004
영상,48.47
전학,48.449999999999996
화장,48.35
하원,48.330000000000005
담당,48.190000000000005
실습,48.14
여름,48.09
고교,47.989999999999995
성년자,47.980000000000004
여러분,47.93
애기,47.800000000000004
지식,47.66
제품,47.64000000000001
집중,47.62
어려움,47.5
적극,47.45
대신,47.33
